600075826	INSTITUTOS PÚBLICOS	COMISSÃO DE COORDENAÇÃO E DESENVOLVIMENTO REGIONAL DO ALENTEJO	23-05-2003	
600075818	INSTITUTOS PÚBLICOS	COMISSÃO DE COORDENAÇÃO E DESENVOLVIMENTO REGIONAL DO ALGARVE	23-05-2003	
600075613	INSTITUTOS PÚBLICOS	COMISSÃO DE COORDENAÇÃO E DESENVOLVIMENTO REGIONAL DO CENTRO [CCDR CENTRO]	23-05-2003	
600074404	INSTITUTOS PÚBLICOS	COMISSÃO DE COORDENAÇÃO E DESENVOLVIMENTO REGIONAL DO NORTE [CCDR NORTE]	23-05-2003	
508139406	INSTITUTOS PÚBLICOS	COMISSÃO INSTALADORA DO LABORATÓRIO IBÉRICO INTERNACIONAL DE NANOTECNOLOGIA - INL	19-03-2007	31/12/12
510156215	INSTITUTOS PÚBLICOS	CONSELHO DAS FINANÇAS PÚBLICAS	20/10/2011	
600018466	INSTITUTOS PÚBLICOS	CONSELHO SUPERIOR MAGISTRATURA	01-01-2008	
600022005	INSTITUTOS PÚBLICOS	CONVENTO CRISTO	11-08-1982	
600025012	INSTITUTOS PÚBLICOS	DEPARTAMENTO DE ENGENHARIA FLORESTAL DO INSTITUTO SUPERIOR AGRONOMIA	28-11-1985	
600015785	INSTITUTOS PÚBLICOS	DEPARTAMENTO DE FÍSICA DA FACULDADE DE CIÊNCIAS E TECNOLOGIA DA UNIVERSIDADE DE COIMBRA	24-01-1981	
600037711	INSTITUTOS PÚBLICOS	DEPARTAMENTO DE SOCIOLOGIA DO INSTITUTO SUPERIOR DE CIÊNCIAS DO TRABALHO E DA EMPRESA	09-04-1980	
600022692	INSTITUTOS PÚBLICOS	DEPARTAMENTO DE TECNOLOGIA E SANIDADE ANIMAL		
600084914	INSTITUTOS PÚBLICOS	DIREÇÃO-GERAL DO PATRIMÓNIO CULTURAL		
600000532	INSTITUTOS PÚBLICOS	EDITORIAL DO MINISTERIO DA EDUCAÇÃO		
510342191	INSTITUTOS PÚBLICOS	ENTIDADE DE SERVIÇOS PARTILHADOS DA ADMINISTRAÇÃO PÚBLICA, I.P.		
507021266	INSTITUTOS PÚBLICOS	ENTIDADE REGULADORA DA SAÚDE	10-12-2003	
503681490	INSTITUTOS PÚBLICOS	ENTIDADE REGULADORA DOS SERVIÇOS ENERGÉTICOS - ERSE	27-07-1995	
600081052	INSTITUTOS PÚBLICOS	ENTIDADE REGULADORA PARA A COMUNICAÇÃO SOCIAL	08-11-2005	
600084035	INSTITUTOS PÚBLICOS	ESCOLA PORTUGUESA DE DILI - CENTRO DE ENSINO E LÍNGUA PORTUGUESA		
600063500	INSTITUTOS PÚBLICOS	ESCOLA PORTUGUESA DE MOÇAMBIQUE - CENTRO DE ENSINO E LÍNGUA PORTUGUESA	25-06-1999	
600000346	INSTITUTOS PÚBLICOS	ESCOLA SUPERIOR AGRÁRIA DE CASTELO BRANCO	26-12-1979	
503584533	INSTITUTOS PÚBLICOS	ESCOLA SUPERIOR DE ARTES E DESIGN DAS CALDAS DA RAINHA	20-04-2004	
680019871	INSTITUTOS PÚBLICOS	ESCOLA SUPERIOR DE EDUCAÇÃO DE CASTELO BRANCO	26-12-1979	
507004876	INSTITUTOS PÚBLICOS	ESCOLA SUPERIOR DE EDUCAÇÃO DE LEIRIA	19-05-2004	
600081583	INSTITUTOS PÚBLICOS	ESCOLA SUPERIOR DE ENFERMAGEM DE COIMBRA	21-07-2004	
508310350	INSTITUTOS PÚBLICOS	ESCOLA SUPERIOR DE ENFERMAGEM DE LISBOA	27-02-2007	
507880803	INSTITUTOS PÚBLICOS	ESCOLA SUPERIOR DE ENFERMAGEM DO PORTO	21-07-2004	
502701676	INSTITUTOS PÚBLICOS	ESCOLA SUPERIOR DE HOTELARIA E TURISMO DO ESTORIL	08-10-1991	
506258459	INSTITUTOS PÚBLICOS	ESCOLA SUPERIOR DE SAÚDE DE BRAGANÇA	30-04-1971	
507010469	INSTITUTOS PÚBLICOS	ESCOLA SUPERIOR DE SAÚDE DE LEIRIA	25-05-2004	
600026736	INSTITUTOS PÚBLICOS	ESCOLA SUPERIOR DE SAÚDE DR. LOPES DIAS	04-08-1973	
503948063	INSTITUTOS PÚBLICOS	ESCOLA SUPERIOR DE TECNOLOGIA DE CASTELO BRANCO	20-06-1997	
504687000	INSTITUTOS PÚBLICOS	ESCOLA SUPERIOR DE TECNOLOGIA DO MAR	26-04-1991	
505218739	INSTITUTOS PÚBLICOS	ESCOLA SUPERIOR DE TECNOLOGIA E GESTÃO DA GUARDA	22-11-1985	
